id,protocal_desc,version,name,type,size,desc,alias
10207,GW77-1500,1,风机状态,float,4,WTUR_TurSt_actsp,
10207,GW77-1500,1,风速m/s),float,4,WNAC_WSpd_InstMag_f,
10207,GW77-1500,1,风向角(deg),float,4,WNAC_Dir_InstMag_f,
10207,GW77-1500,1,风向(deg),float,4,WNAC_Wdir_InstMag_f_1,
10207,GW77-1500,1,偏航位置(deg),float,4,WYAW_Pos,
10207,GW77-1500,1,变流器有功功率kW),float,4,WTUR_PwrAt_InstMag_f,
10207,GW77-1500,1,变流器无功功率kVar),float,4,WCNV_PwrReact_InstMag_f,
10207,GW77-1500,1,电网功率因数,float,4,WCNV_Gen_PF_phsAB_InstCVal_mag_f,
10207,GW77-1500,1,电网频率(Hz),float,4,WCNV_Hz_InstMag_f,
10207,GW77-1500,1,L1电压(V),float,4,WGDC_TrfGen_PPV_phsAB_InstCVal_mag_f,
10207,GW77-1500,1,L2电压(V),float,4,WGDC_TrfGen_PPV_phsBC_InstCVal_mag_f,
10207,GW77-1500,1,L3电压(V),float,4,WGDC_TrfGen_PPV_phsCA_InstCVal_mag_f,
10207,GW77-1500,1,I1电流(A),float,4,WGDC_TrfGen_A_PhsA_InstCVal_mag_f,
10207,GW77-1500,1,I2电流(A),float,4,WGDC_TrfGen_A_PhsB_InstCVal_mag_f,
10207,GW77-1500,1,I3电流(A),float,4,WGDC_TrfGen_A_PhsC_InstCVal_mag_f,
10207,GW77-1500,1,叶轮转速1（接近开关1＿RPM),float,4,WROT_RotSpd_InstMag_1_i,
10207,GW77-1500,1,发电机转速(RPM),float,4,WGEN_Spd_InstMag_i,
10207,GW77-1500,1,叶片1角度(deg),float,4,WROT_PtAngVal_Bl1,
10207,GW77-1500,1,叶片2角度(deg),float,4,WROT_PtAngVal_Bl2,
10207,GW77-1500,1,叶片3角度(deg),float,4,WROT_PtAngVal_Bl3,
10207,GW77-1500,1,环境温度(度),float,4,WNAC_ExlTmp_instMag_f,
10207,GW77-1500,1,机舱温度(度),float,4,WNAC_IntTmp_instMag_f,
10207,GW77-1500,1,发电机绕组温度(度),float,4,WGEN_Sensor1Tmp,
10207,GW77-1500,1,总发电量(kWh),float,4,WGEN_TotPwr_InstMag_i,
10207,GW77-1500,1,进阀压力(Bar),float,4,WCNV_Conver_Inwaterpressure,
10207,GW77-1500,1,进阀温度(度),float,4,WCNV_Conver_Inwatertmp,
10207,GW77-1500,1,出阀压力(Bar),float,4,WCNV_Conver_Outwaterpressure,
10207,GW77-1500,1,出阀温度(度),float,4,WCNV_Conver_Outwatertmp,
10207,GW77-1500,1,冷却水流量L/Min),float,4,WCNV_Conver_WaterCool_Flow,
10207,GW77-1500,1,制动IGBT温度(度),float,4,WCNV_Conver_chopper_igbt_temp,
10207,GW77-1500,1,电机侧补偿电容温度(度),float,4,WCNV_Conver_generator_capacitors_tmp_f,
10207,GW77-1500,1,斩波升压IGBT1温度(度),float,4,WCNV_Conver_setup_igbt1,
10207,GW77-1500,1,斩波升压IGBT2温度(度),float,4,WCNV_Conver_setup_igbt2,
10207,GW77-1500,1,斩波升压IGBT3温度(度),float,4,WCNV_Conver_setup_igbt3,
10207,GW77-1500,1,速度反馈(deg/s),float,4,WCNV_Gen_Speed,
10207,GW77-1500,1,网侧电流(A),float,4,WCNV_GridIGBT_I,
10207,GW77-1500,1,网侧电压(V),float,4,WCNV_GridIGBT_U,
10207,GW77-1500,1,变流器无功功率给定值kVar),float,4,WCNV_Nopow_Reference,
10207,GW77-1500,1,平均无功功率(kVar),float,4,WCNV_PwrReact_InstMag_f_AVG_,
10207,GW77-1500,1,最大无功功率kVar),float,4,WCNV_PwrReact_InstMag_f_MAX_,
10207,GW77-1500,1,最小无功功率kVar),float,4,WCNV_PwrReact_InstMag_f_MIN_,
10207,GW77-1500,1,扭矩反馈(Nm),float,4,WCNV_Torque,
10207,GW77-1500,1,变流器扭矩给定值Nm),float,4,WCNV_Torque_Reference,
10207,GW77-1500,1,L1电流平均值A),float,4,WGDC_TrfGen_A_PhsA_InstCVal_mag_f_AVG_,
10207,GW77-1500,1,L2电流平均值A),float,4,WGDC_TrfGen_A_PhsB_InstCVal_mag_f_AVG_,
10207,GW77-1500,1,L3电流平均值A),float,4,WGDC_TrfGen_A_PhsC_InstCVal_mag_f_AVG_,
10207,GW77-1500,1,L1电压平均值V),float,4,WGDC_TrfGen_PPV_phsAB_InstCVal_mag_f_AVG_,
10207,GW77-1500,1,L2电压平均值V),float,4,WGDC_TrfGen_PPV_phsBC_InstCVal_mag_f_AVG_,
10207,GW77-1500,1,L3电压平均值V),float,4,WGDC_TrfGen_PPV_phsCA_InstCVal_mag_f_AVG_,
10207,GW77-1500,1,电机电流(A),float,4,WGDC_conver_in_gen_cur,
10207,GW77-1500,1,电机端电压V),float,4,WGDC_conver_in_gen_vol,
10207,GW77-1500,1,发电机气隙1(mm),float,4,WGEN_AirGap1,
10207,GW77-1500,1,发电机气隙2(mm),float,4,WGEN_AirGap2,
10207,GW77-1500,1,发电机气隙3(mm),float,4,WGEN_AirGap3,
10207,GW77-1500,1,网侧电抗器温度(度),float,4,WGEN_ConresistanceTep_i,
10207,GW77-1500,1,变流器直流电压正极(V),float,4,WGEN_Conver_DC_Volt_Positive,
10207,GW77-1500,1,变流器直流电压负极(V),float,4,WGEN_Conver_DC_Volt_negative,
10207,GW77-1500,1,斩波电抗器温度(度),float,4,WGEN_Conver_Dc_Inductor_Tep_f,
10207,GW77-1500,1,斩波升压电流(A),float,4,WGEN_Conver_I_DC,
10207,GW77-1500,1,二极管温度(度),float,4,WGEN_Conver_Rectifier_Tepf,
10207,GW77-1500,1,制动系统电流(A),float,4,WGEN_Conver_chopper_I,
10207,GW77-1500,1,支撑电容温度(度),float,4,WGEN_Conver_dc_capacitor_Tep_f,
10207,GW77-1500,1,网侧L1aIGBT温度(度),float,4,WGEN_Conver_grid_L1a_igbt_Tep_i,
10207,GW77-1500,1,网侧L1bIGBT温度(度),float,4,WGEN_Conver_grid_L1b_igbt_Tep_i,
10207,GW77-1500,1,网侧L2aIGBT温度(度),float,4,WGEN_Conver_grid_L2a_igbt_Tep_i,
10207,GW77-1500,1,网侧L2bIGBT温度(度),float,4,WGEN_Conver_grid_L2b_igbt_Tep_i,
10207,GW77-1500,1,网侧L3aIGBT温度(度),float,4,WGEN_Conver_grid_L3a_igbt_Tep_i,
10207,GW77-1500,1,网侧L3bIGBT温度(度),float,4,WGEN_Conver_grid_L3b_igbt_Tep_i,
10207,GW77-1500,1,最高网侧IGBT温度(度),float,4,WGEN_Conver_grid_igbt_Tep_Max_f,
10207,GW77-1500,1,变流器二极管整流电压(V),float,4,WGEN_Conver_rectifier_U,
10207,GW77-1500,1,最高斩波升压IGBT温度(度),float,4,WGEN_Conver_setup_igbt_Tep_Max_f,
10207,GW77-1500,1,电机1侧控制器温度(度),float,4,WGEN_Gen1_ControTep_i,
10207,GW77-1500,1,电机1侧逆变器温度(度),float,4,WGEN_Gen1_InverTep_i,
10207,GW77-1500,1,电机2侧控制器温度(度),float,4,WGEN_Gen2_ControTep_i,
10207,GW77-1500,1,电机2侧逆变器温度(度),float,4,WGEN_Gen2_InverTep_i,
10207,GW77-1500,1,网侧控制器温度(度),float,4,WGEN_NetSideConTep_i,
10207,GW77-1500,1,网侧逆变器温度(度),float,4,WGEN_NetSideTep_i,
10207,GW77-1500,1,变桨1软件版本,float,4,WGEN_Picth1_Version,
10207,GW77-1500,1,变桨2软件版本,float,4,WGEN_Picth2_Version,
10207,GW77-1500,1,变桨3软件版本,float,4,WGEN_Picth3_Version,
10207,GW77-1500,1,消耗电量kWh),float,4,WGEN_PwrEpd_InstMag_i,
10207,GW77-1500,1,消耗电量末值kWh),float,4,WGEN_PwrEpd_InstMag_i_max_,
10207,GW77-1500,1,消耗电量初值kWh),float,4,WGEN_PwrEpd_InstMag_i_min_,
10207,GW77-1500,1,发电机绕组温度(度),float,4,WGEN_Sensor2Tmp,
10207,GW77-1500,1,发电机绕组温度(度),float,4,WGEN_Sensor3Tmp,
10207,GW77-1500,1,发电机绕组温度(度),float,4,WGEN_Sensor4Tmp,
10207,GW77-1500,1,发电机绕组温度(度),float,4,WGEN_Sensor5Tmp,
10207,GW77-1500,1,发电机绕组温度(度),float,4,WGEN_Sensor6Tmp,
10207,GW77-1500,1,最高电机绕组温度(度),float,4,WGEN_SensorTmp_MAX_,
10207,GW77-1500,1,最高发电机绕组温度(度),float,4,WGEN_SensorTmp_Max_f,
10207,GW77-1500,1,最大转速(RPM),float,4,WGEN_Spd_InstMag_Max_i,
10207,GW77-1500,1,限功率停机时间(h),float,4,WGEN_ToStLimPowTm_actTmVal,
10207,GW77-1500,1,总发电量最大值(kWh),float,4,WGEN_TotPwr_InstMag_i_max_,
10207,GW77-1500,1,总发电量最小值(kWh),float,4,WGEN_TotPwr_InstMag_i_min_,
10207,GW77-1500,1,发电时间(h),float,4,WGEN_TotTm_actTmVal,
10207,GW77-1500,1,制动IGBT柜温度(度),float,4,WGEN_chopper_igbt_cabinet_temp,
10207,GW77-1500,1,DV_DT滤波器温度(度),float,4,WGEN_conver_filter_1_temp,
10207,GW77-1500,1,DV_DT滤波器温度(度),float,4,WGEN_conver_filter_2_temp,
10207,GW77-1500,1,机侧L1aIGBT温度(度),float,4,WGEN_conver_gen_L1a_igbt_temp,
10207,GW77-1500,1,机侧L1bIGBT温度(度),float,4,WGEN_conver_gen_L1b_igbt_temp,
10207,GW77-1500,1,机侧L2aIGBT温度(度),float,4,WGEN_conver_gen_L2a_igbt_temp,
10207,GW77-1500,1,机侧L2bIGBT温度(度),float,4,WGEN_conver_gen_L2b_igbt_temp,
10207,GW77-1500,1,机侧L3aIGBT温度(度),float,4,WGEN_conver_gen_L3a_igbt_temp,
10207,GW77-1500,1,机侧L3bIGBT温度(度),float,4,WGEN_conver_gen_L3b_igbt_temp,
10207,GW77-1500,1,故障复位等级,float,4,WMAN_Deactive_Mode,
10207,GW77-1500,1,故障复位等级,float,4,WMAN_ErrorReset_level,
10207,GW77-1500,1,故障启动等级,float,4,WMAN_ErrorSart_level,
10207,GW77-1500,1,故障停机等级,float,4,WMAN_ErrorStop_level,
10207,GW77-1500,1,故障偏航等级,float,4,WMAN_ErrorYaw_level,
10207,GW77-1500,1,动作复位等级,float,4,WMAN_EverReset_level,
10207,GW77-1500,1,动作启机等级,float,4,WMAN_EverSart_level,
10207,GW77-1500,1,动作停机等级,float,4,WMAN_EverStop_level,
10207,GW77-1500,1,动作偏航等级,float,4,WMAN_EverYaw_level,
10207,GW77-1500,1,数据可用状怿,float,4,WMAN_State,
10207,GW77-1500,1,风机编号,float,4,WMAN_WtNo,
10207,GW77-1500,1,能量控制模式,float,4,WMAN_bLimPow,
